Дата,Пора_року,Місяць,Температура,Опади
01.01.2025,Зима,Січень,0.0,8.6
02.01.2025,Зима,Січень,2.5,9.5
03.01.2025,Зима,Січень,2.8,1.7
04.01.2025,Зима,Січень,-2.0,14.2
05.01.2025,Зима,Січень,1.9,11.7
06.01.2025,Зима,Січень,0.5,1.4
07.01.2025,Зима,Січень,1.2,13.1
08.01.2025,Зима,Січень,-0.8,13.9
09.01.2025,Зима,Січень,-0.8,5.7
10.01.2025,Зима,Січень,2.0,5.2
11.01.2025,Зима,Січень,-4.2,4.0
12.01.2025,Зима,Січень,2.0,3.5
13.01.2025,Зима,Січень,1.8,1.2
14.01.2025,Зима,Січень,-0.5,13.8
15.01.2025,Зима,Січень,1.0,12.1
16.01.2025,Зима,Січень,-3.5,1.1
17.01.2025,Зима,Січень,1.2,0.4
18.01.2025,Зима,Січень,2.8,12.2
19.01.2025,Зима,Січень,0.3,2.2
20.01.2025,Зима,Січень,-4.5,10.1
21.01.2025,Зима,Січень,-3.9,11.1
22.01.2025,Зима,Січень,1.6,5.9
23.01.2025,Зима,Січень,-1.7,8.0
24.01.2025,Зима,Січень,-3.1,6.8
25.01.2025,Зима,Січень,-4.3,10.3
26.01.2025,Зима,Січень,1.2,7.4
27.01.2025,Зима,Січень,2.1,7.1
28.01.2025,Зима,Січень,-0.4,3.1
29.01.2025,Зима,Січень,-4.5,14.3
30.01.2025,Зима,Січень,-4.5,4.5
31.01.2025,Зима,Січень,-2.9,5.6
01.02.2025,Зима,Лютий,2.3,10.0
02.02.2025,Зима,Лютий,2.2,10.0
03.02.2025,Зима,Лютий,3.1,10.0
04.02.2025,Зима,Лютий,2.2,8.4
05.02.2025,Зима,Лютий,-3.5,9.2
06.02.2025,Зима,Лютий,-3.0,3.2
07.02.2025,Зима,Лютий,-2.5,0.1
08.02.2025,Зима,Лютий,3.5,7.5
09.02.2025,Зима,Лютий,-0.7,6.6
10.02.2025,Зима,Лютий,-0.4,2.6
11.02.2025,Зима,Лютий,2.8,3.3
12.02.2025,Зима,Лютий,0.0,11.4
13.02.2025,Зима,Лютий,1.7,5.0
14.02.2025,Зима,Лютий,-2.0,11.9
15.02.2025,Зима,Лютий,1.9,4.0
16.02.2025,Зима,Лютий,-4.0,2.7
